song_ranking,artist_name,song_title,track_spotify_ID,artist_spotify_ID,song_duration[ms],song_release_date,spotify_popularity,album_name,album_type,song_ID,artist_ID,album_ID
52,Luke Combs,Cold As You,7IWV29mryrqtO0JVgnPtfv,718COspgdWOnwOFpJHRZHS,186106,2020-10-23,78,What You See Ain't Always What You Get (Deluxe Edition),album,52,52,52
53,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",Who Want Smoke??,4yNoUQkYf1QF8iYlEzNynH,0Njy6yR9LykNKYg9yE23QN,279853,2021-10-08,85,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",single,53,53,53
54,Jordan Davis Featuring Luke Bryan,Buy Dirt,69AIpwGNLxr4qS1X5ynx60,77kULmXAQ6vWer7IIHdGzI,167480,2021-05-21,81,Buy Dirt,album,54,54,54
55,Kodak Black,Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF,2Pv9ZGQqEflbdavLk6rr0t,200547,2021-10-30,81,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,album,55,55,55
56,Farruko,Pepas,5fwSHlTEWpluwOM0Sxnh5k,329e4yvIujISKGKz1BZZbO,287120,2021-06-24,95,Pepas,single,56,56,56
57,Chris Stapleton,You Should Probably Leave,2UikqkwBv7aIvlixeVXHWt,4YLtscXsxbVgi031ovDDdh,213493,2020-11-13,76,Starting Over,album,57,57,57
58,Rod Wave,By Your Side,2AaJeBEq3WLcfFW1y8svDf,45TgXXqMDdF8BkjA83OM7z,194050,2021-11-22,79,By Your Side,single,58,58,58
59,Blxst & Tyga Featuring Ty Dolla $ign,Chosen,1dIWPXMX4kRHj6Dt2DStUQ,4qXC0i02bSFstECuXP2ZpL,161684,2020-12-04,86,No Love Lost (Deluxe),album,59,59,59
60,Zac Brown Band,Same Boat,2VmccNZz4zFmlcXstY8a2D,6yJCxee7QumYr820xdIsjo,190451,2021-06-11,69,Same Boat,single,60,60,60
61,Michael Ray,Whiskey And Rain,1tf4Bfk8JIKryLpWYRvyiI,6ghiFYcwn2Vzl6K50U0UPz,206506,2020-09-25,75,Whiskey And Rain,single,61,61,61
62,Chloe,Have Mercy,5SixeLvPsYpk7qq9lo5xYg,1FtBEIWAwvw5ymBen5GICR,148778,2021-09-10,84,Have Mercy,single,62,62,62
63,Normani Featuring Cardi B,Wild Side,2vXgyN14LX2zl7JEASw242,2cWZOOzeOm4WmBJRnD5R7I,209476,2021-07-22,81,Wild Side (feat. Cardi B),single,63,63,63
64,Morgan Wallen,Sand In My Boots,0uRrG2jRR5tuifsYIJHEao,4oUHIQIBe0LHzYfvXNW4QM,202133,2021-01-08,79,Dangerous: The Double Album,album,64,64,64
65,Kane Brown,One Mississippi,4FdPnT2cFrpWCmWZd7GXc3,3oSJ7TBVCWMDMiYjXNiCKE,213718,2021-08-20,76,One Mississippi,single,65,65,65
66,Kenny Chesney,Knowing You,2EEfUuBRZA4Ax1vYcluFS0,3grHWM9bx2E9vwJCdlRv9O,226266,2020-05-01,69,Here And Now,album,66,66,66
67,Adele,My Little Love,2DuPBbS5mIldXnh7Wum8Cy,4dpARuHxo51G3z768sgnrY,389107,2021-11-19,89,30,album,67,67,67
68,Baby Keem & Kendrick Lamar,Family Ties,7Bpx2vsWfQFBACRz4h3IqH,5SXuuuRpukkTvsLuUknva1,252069,2021-08-27,86,family ties (with Kendrick Lamar),single,68,68,68
69,Imagine Dragons X JID,Enemy,1r9xUipOqoNwggBpENDsvJ,53XhwfbYqKCa1cC15pYq2q,173381,2021-10-28,96,Enemy (with JID) [from the series Arcane League of Legends],single,69,69,69
70,Capella Grey,Gyalis,7wpyrkjEgz7W1vNYDxMKrF,59HbaJ5E8ud7FNLGqUN1KH,105377,2021-01-04,76,GYALIS,single,70,70,70
71,Latto,Big Energy,6Zu3aw7FfjAF9WA0fA81Oq,3MdXrJWsbVzdn6fe5JYkSQ,173182,2021-09-24,78,Big Energy,single,71,71,71
72,Meek Mill Featuring Lil Baby & Lil Durk,Sharing Locations,3J4VKkUpLvomXJbn9ZAypO,20sxb77xiYeusSH8cVdatc,161052,2021-08-27,82,Sharing Locations (feat. Lil Baby & Lil Durk),single,72,72,72
73,Summer Walker & SZA,No Love,08SB2OtZkaliju77WYEKxk,57LYzLEk2LcFghVwuWbcuS,231497,2021-11-05,85,Still Over It,album,73,73,73
74,Adele,Can I Get It,6w8ZPYdnGajyfPddTWdthN,4dpARuHxo51G3z768sgnrY,210384,2021-11-19,90,30,album,74,74,74
75,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,4MCBfE4596Uoi2O4DtmEMz,231010,2021-11-12,88,Already Dead,single,75,75,75
76,Adele,I Drink Wine,6v0UJD4a2FtleHeSYVX02A,4dpARuHxo51G3z768sgnrY,376169,2021-11-19,89,30,album,76,76,76
