song_ID,song_title,album_name,track_spotify_ID,artist_spotify_ID,song_ranking,spotify_popularity,song_duration[ms],song_release_date
65,One Mississippi,One Mississippi,4FdPnT2cFrpWCmWZd7GXc3,3oSJ7TBVCWMDMiYjXNiCKE,65,76.0,213718.0,2021-08-20
66,Knowing You,Here And Now,2EEfUuBRZA4Ax1vYcluFS0,3grHWM9bx2E9vwJCdlRv9O,66,69.0,226266.0,2020-05-01
67,My Little Love,30,2DuPBbS5mIldXnh7Wum8Cy,4dpARuHxo51G3z768sgnrY,67,89.0,389107.0,2021-11-19
68,Family Ties,family ties (with Kendrick Lamar),7Bpx2vsWfQFBACRz4h3IqH,5SXuuuRpukkTvsLuUknva1,68,86.0,252069.0,2021-08-27
69,Enemy,Enemy (with JID) [from the series Arcane League of Legends],1r9xUipOqoNwggBpENDsvJ,53XhwfbYqKCa1cC15pYq2q,69,96.0,173381.0,2021-10-28
70,Gyalis,GYALIS,7wpyrkjEgz7W1vNYDxMKrF,59HbaJ5E8ud7FNLGqUN1KH,70,76.0,105377.0,2021-01-04
71,Big Energy,Big Energy,6Zu3aw7FfjAF9WA0fA81Oq,3MdXrJWsbVzdn6fe5JYkSQ,71,78.0,173182.0,2021-09-24
72,Sharing Locations,Sharing Locations (feat. Lil Baby & Lil Durk),3J4VKkUpLvomXJbn9ZAypO,20sxb77xiYeusSH8cVdatc,72,82.0,161052.0,2021-08-27
73,No Love,Still Over It,08SB2OtZkaliju77WYEKxk,57LYzLEk2LcFghVwuWbcuS,73,85.0,231497.0,2021-11-05
74,Can I Get It,30,6w8ZPYdnGajyfPddTWdthN,4dpARuHxo51G3z768sgnrY,74,90.0,210384.0,2021-11-19
75,Already Dead,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,4MCBfE4596Uoi2O4DtmEMz,75,88.0,231010.0,2021-11-12
76,I Drink Wine,30,6v0UJD4a2FtleHeSYVX02A,4dpARuHxo51G3z768sgnrY,76,89.0,376169.0,2021-11-19
