song_ID,song_title,track_spotify_ID,song_ranking,spotify_popularity,artist_spotify_ID,song_duration[ms],album_name,song_release_date
66,Knowing You,2EEfUuBRZA4Ax1vYcluFS0,66,69.0,3grHWM9bx2E9vwJCdlRv9O,226266.0,Here And Now,2020-05-01
67,My Little Love,2DuPBbS5mIldXnh7Wum8Cy,67,89.0,4dpARuHxo51G3z768sgnrY,389107.0,30,2021-11-19
68,Family Ties,7Bpx2vsWfQFBACRz4h3IqH,68,86.0,5SXuuuRpukkTvsLuUknva1,252069.0,family ties (with Kendrick Lamar),2021-08-27
69,Enemy,1r9xUipOqoNwggBpENDsvJ,69,96.0,53XhwfbYqKCa1cC15pYq2q,173381.0,Enemy (with JID) [from the series Arcane League of Legends],2021-10-28
70,Gyalis,7wpyrkjEgz7W1vNYDxMKrF,70,76.0,59HbaJ5E8ud7FNLGqUN1KH,105377.0,GYALIS,2021-01-04
71,Big Energy,6Zu3aw7FfjAF9WA0fA81Oq,71,78.0,3MdXrJWsbVzdn6fe5JYkSQ,173182.0,Big Energy,2021-09-24
72,Sharing Locations,3J4VKkUpLvomXJbn9ZAypO,72,82.0,20sxb77xiYeusSH8cVdatc,161052.0,Sharing Locations (feat. Lil Baby & Lil Durk),2021-08-27
73,No Love,08SB2OtZkaliju77WYEKxk,73,85.0,57LYzLEk2LcFghVwuWbcuS,231497.0,Still Over It,2021-11-05
74,Can I Get It,6w8ZPYdnGajyfPddTWdthN,74,90.0,4dpARuHxo51G3z768sgnrY,210384.0,30,2021-11-19
75,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,75,88.0,4MCBfE4596Uoi2O4DtmEMz,231010.0,Already Dead,2021-11-12
76,I Drink Wine,6v0UJD4a2FtleHeSYVX02A,76,89.0,4dpARuHxo51G3z768sgnrY,376169.0,30,2021-11-19
77,Pick Out A Christmas Tree,0stm5Y4Zln38uik4FuaCro,77,2.0,1ThjgakWDfCn4XcD7H0CT0,74110.0,Cup for Us,2011-10-24
78,Message In A Bottle (Taylor's Version) (From The Vault),3z6XUommYDWPHeFhmhhT6j,78,84.0,06HL4z0CvFAxyc27GXpf02,225960.0,Red (Taylor's Version),2021-11-12
79,Tequila Little Time,15npbUjCgwt2lRvyrJvyxw,79,71.0,4MoAOfV4ROWofLG3a3hhBN,207161.0,Heartache Medication,2019-09-27
80,Freedom Was A Highway,3J5jotqUAjU479WhAiNkpU,80,73.0,147nKr9upHZSSxqCzh9j7c,212720.0,Bettie James,2020-07-10
81,Just About Over You,4Ec0q0j8hRTCX4QQ5MiHSX,81,70.0,6BpvASijzSWj7gnZD4Dvf1,179213.0,Just About Over You,2020-09-30
82,Bubbly,4KDNRh9Oor80z3XIxdWlui,83,84.0,50co4Is1HCEo8bhOyUWKpn,165066.0,Punk,2021-10-15
83,"
Bad Man (Smooth Criminal)",6RfhBNU1FPWTG7VESlfgOl,84,85.0,6AgTAQt8XS6jRWi4sX7w49,106000.0,Bad Man (Smooth Criminal),2021-11-12
84,For Tonight,61Emqg95O9zo1GNOcyxq4Y,85,83.0,4fxd5Ee7UefO4CUXgwJ7IP,193821.0,For Tonight,2021-09-24
85,Fair Trade,40iJIUlhi6renaREYGeIDS,86,90.0,3TVXtAsR1Inumwj472S9r4,291175.0,Certified Lover Boy,2021-09-03
86,Poke It Out,1IeCWMwZs4rCmwPOjZYWN7,87,71.0,67nwj3Y5sZQLl72VNUHEYE,183333.0,Poke It Out (feat. J. Cole),2021-09-30
87,'Til You Can't,4k3lPl8YTKuY8c1HelVnm3,88,76.0,6zLBxLdl60ekBLpawtT63I,224213.0,Human The Double Album,2021-10-08
88,Scorpio,0BFGDkrXAneskCJdudSCro,89,74.0,3tJoFztHeIJkJWMrx0td2f,165772.0,A Gangsta’s Pain: Reloaded,2021-10-22
89,Woman,6Uj1ctrBOjOas8xZXGqKk4,90,96.0,5cj0lLjcoR7YOSnhnX0Po5,172626.0,Planet Her,2021-06-25
90,Memory I Don't Mess With,7BQE1P0NUalHSvFtrxasx9,91,70.0,5Zq7R5qmi58ByYyBQTlNuk,180616.0,Memory I Don't Mess With,2020-10-16
91,Heart On Fire,0ysCB1Jg4hli0XlEWlipo7,92,71.0,2IvkS5MXK0vPGnwyJsrEyV,258799.0,Heart,2021-04-16
92,Half Of My Hometown,59xdsxc0QGW6TDA3ZuQ9tS,93,70.0,3RqBeV12Tt7A8xH3zBDDUF,231832.0,half of my hometown,2021-03-26
93,Moth To A Flame,2gpWyfu7eZ01zzncHpxOtA,94,93.0,1h6Cn3P4NGzXbaXidqURXs,234000.0,Moth To A Flame,2021-10-22
94,Always Been You,2zpZkOV7sD9C4Cv0cukoHV,95,80.0,2yLzlEFtIS0Q9UkyBZdQA7,131824.0,Always Been You,2021-11-24
95,Who's In Your Head,5nhW8I46uDE5sc5ouEbzao,96,76.0,7gOdHgIoIKoe4i9Tta6qdD,183536.0,Who's In Your Head,2021-09-17
96,Baddest,0sr0YMdDTNNr4Lv4VnI3C8,97,65.0,7wlFDEWiM5OoIAt8RSli8b,160000.0,"Sincerely, Kentrell",2021-09-24
97,Maybach,2Qt8qG9SWPdtRiaWcPNJRm,98,72.0,45gHcnDnMC15sgx3VL7ROG,199093.0,Free Dem Boyz,2021-05-21
98,Volvi,2vmfvSoZBFAt9hhRoEByLi,99,92.0,1qto4hHid1P71emI6Fd8xi,230125.0,Volví,2021-08-03
99,Ex For A Reason,1De7cOMrdUnVpjWBaowMg4,100,75.0,57LYzLEk2LcFghVwuWbcuS,225502.0,Still Over It,2021-11-05
